equipment,date,variable1,variable2
000000,2014-12-18,875.5,6.0
000000,2014-12-19,573.4,4.0
000000,2014-12-20,852.8,6.0
000000,2014-12-21,291.3,3.0
000000,2014-12-22,758.0,6.0
000000,2014-12-23,697.5,5.0
000000,2014-12-24,852.8,5.0
000000,2014-12-25,995.8,7.0
000000,2014-12-26,545.5,3.0
000000,2014-12-27,527.3,3.0
000000,2014-12-28,551.4,4.0
000000,2014-12-29,1010.7,7.0
000000,2014-12-30,42.5,0.0
000000,2014-12-31,72.0,1.0
000000,2015-01-01,240.6,1.0
000000,2015-01-02,801.0,5.0
000000,2015-01-03,730.7,5.0
000000,2015-01-04,665.2,5.0
000000,2015-01-05,16.1,0.0
000000,2015-01-06,0.0,0.0
000000,2015-01-07,0.0,0.0
000000,2015-01-08,105.3,0.0
000000,2015-01-09,413.6,3.0
000000,2015-01-10,301.1,2.0
000000,2015-01-11,744.9,5.0
000000,2015-01-12,718.0,5.0
000000,2015-01-13,408.2,2.0
000000,2015-01-14,749.4,4.0
000000,2015-01-15,430.8,3.0
000000,2015-01-16,453.7,4.0
000000,2015-01-17,792.3,4.0
000000,2015-01-18,469.1,3.0
000000,2015-01-19,337.2,2.0
000000,2015-01-20,788.4,5.0
000000,2015-01-21,822.3,5.0
000000,2015-01-22,832.4,6.0
000000,2015-01-23,353.4,3.0
000000,2015-01-24,815.6,7.0
000000,2015-01-25,237.3,2.0
000000,2015-01-26,282.0,2.0
000000,2015-01-27,324.4,3.0
000000,2015-01-28,614.8,4.0
000000,2015-01-29,407.5,3.0
000000,2015-01-30,504.9,4.0
000000,2015-01-31,920.0,6.0
000000,2015-02-01,0.0,0.0
000000,2015-02-02,789.4,6.0
000000,2015-02-03,396.3,3.0
000000,2015-02-04,228.0,1.0
000000,2015-02-05,144.0,1.0
000000,2015-02-06,659.8,6.0
000000,2015-02-07,779.4,5.0
000000,2015-02-08,0.0,0.0
000000,2015-02-09,536.0,4.0
000000,2015-02-10,450.5,3.0
000000,2015-02-11,285.3,2.0
000000,2015-02-12,543.6,3.0
000000,2015-02-13,507.4,4.0
000000,2015-02-14,359.5,2.0
000000,2015-02-15,0.0,0.0
000000,2015-02-16,259.3,2.0
000000,2015-02-17,794.5,4.0
000000,2015-02-18,225.6,2.0
000000,2015-02-19,100.3,1.0
000000,2015-02-20,692.3,4.0
000000,2015-02-21,399.6,2.0
000000,2015-02-22,697.9,4.0
000000,2015-02-23,499.5,4.0
000000,2015-02-24,361.1,2.0
000000,2015-02-25,328.7,2.0
000000,2015-02-26,0.0,0.0
000000,2015-02-27,590.5,4.0
000000,2015-02-28,830.3,5.0
000000,2015-03-01,557.5,4.0
000000,2015-03-02,365.1,3.0
000000,2015-03-03,573.3,5.0
000000,2015-03-04,475.8,3.0
000000,2015-03-05,442.0,2.0
000000,2015-03-06,914.7,5.0
000000,2015-03-07,232.4,2.0
000000,2015-03-08,825.8,6.0
000000,2015-03-09,994.8,6.0
000000,2015-03-10,1315.8,8.0
000000,2015-03-11,1371.2,9.0
000000,2015-03-12,1327.7,9.0
000000,2015-03-13,119.3,1.0
000000,2015-03-14,882.0,6.0
000000,2015-03-15,624.6,4.0
000000,2015-03-16,1013.1,7.0
000000,2015-03-17,762.0,5.0
000000,2015-03-18,710.2,5.0
000000,2015-03-19,412.2,2.0
000000,2015-03-20,663.1,4.0
000000,2015-03-21,216.8,2.0
000000,2015-03-22,375.1,3.0
000000,2015-03-23,639.7,4.0
000000,2015-03-24,956.4,7.0
000000,2015-03-25,754.0,5.0
000000,2015-03-26,280.8,2.0
000000,2015-03-27,898.0,6.0
000000,2015-03-28,569.7,3.0
000000,2015-03-29,110.5,1.0
000000,2015-03-30,451.1,3.0
000000,2015-03-31,970.9,6.0
000000,2015-04-01,405.4,3.0
000000,2015-04-02,13.9,0.0
000000,2015-04-03,673.7,4.0
000000,2015-04-04,714.0,5.0
000000,2015-04-05,855.5,5.0
000000,2015-04-06,1011.7,6.0
000000,2015-04-07,749.7,5.0
000000,2015-04-08,842.7,5.0
000000,2015-04-09,594.2,4.0
000000,2015-04-10,538.3,4.0
000000,2015-04-11,551.4,3.0
000000,2015-04-12,457.1,3.0
000000,2015-04-13,610.9,3.0
000000,2015-04-14,815.3,6.0
000000,2015-04-15,761.9,4.0
000000,2015-04-16,618.2,4.0
000000,2015-04-17,1054.2,7.0
000000,2015-04-18,331.6,3.0
000000,2015-04-19,695.2,5.0
000000,2015-04-20,1045.2,8.0
000000,2015-04-21,738.5,5.0
000000,2015-04-22,710.0,5.0
000000,2015-04-23,669.2,5.0
000000,2015-04-24,402.1,2.0
000000,2015-04-25,588.1,5.0
000000,2015-04-26,520.3,4.0
000000,2015-04-27,451.4,3.0
000000,2015-04-28,914.0,6.0
000000,2015-04-29,510.5,3.0
000000,2015-04-30,309.3,2.0
000000,2015-05-01,925.9,6.0
000000,2015-05-02,645.4,6.0
000000,2015-05-03,526.7,3.0
000000,2015-05-04,791.4,6.0
000000,2015-05-05,624.5,4.0
000000,2015-05-06,606.8,4.0
000000,2015-05-07,625.8,4.0
000000,2015-05-08,719.4,5.0
000000,2015-05-09,974.3,7.0
000000,2015-05-10,997.1,8.0
000000,2015-05-11,611.6,5.0
000000,2015-05-12,1065.6,8.0
000000,2015-05-13,463.6,3.0
000000,2015-05-14,928.9,7.0
000000,2015-05-15,534.9,4.0
000000,2015-05-16,570.1,5.0
000000,2015-05-17,678.2,4.0
000000,2015-05-18,637.9,5.0
000000,2015-05-19,819.2,7.0
000000,2015-05-20,744.5,5.0
000000,2015-05-21,800.0,6.0
000000,2015-05-22,778.2,6.0
000000,2015-05-23,643.1,4.0
000000,2015-05-24,843.7,5.0
000000,2015-05-25,801.3,5.0
000000,2015-05-26,553.0,5.0
000000,2015-05-27,543.8,4.0
000000,2015-05-28,784.4,5.0
000000,2015-05-29,739.8,4.0
000000,2015-05-30,484.3,4.0
000000,2015-05-31,533.9,3.0
000000,2015-06-01,947.7,5.0
000000,2015-06-02,0.0,0.0
000000,2015-06-03,0.0,0.0
000000,2015-06-04,75.6,2.0
000000,2015-06-05,648.4,4.0
000000,2015-06-06,885.6,5.0
000000,2015-06-07,769.5,4.0
000000,2015-06-08,789.9,5.0
000000,2015-06-09,961.5,4.0
000000,2015-06-10,834.9,4.0
000000,2015-06-11,661.7,4.0
000000,2015-06-12,235.6,2.0
000000,2015-06-13,613.5,4.0
000000,2015-06-14,0.0,0.0
000000,2015-06-15,508.5,4.0
000000,2015-06-16,841.2,7.0
000000,2015-06-17,0.0,0.0
000000,2015-06-18,0.0,0.0
000000,2015-06-19,442.6,3.0
000000,2015-06-20,409.0,4.0
000000,2015-06-21,456.0,3.0
000000,2015-06-22,968.3,5.0
000000,2015-06-23,618.9,4.0
000000,2015-06-24,823.3,5.0
000000,2015-06-25,687.0,5.0
000000,2015-06-26,810.8,5.0
000000,2015-06-27,839.2,6.0
000000,2015-06-28,103.1,1.0
000000,2015-06-29,754.9,4.0
000000,2015-06-30,888.7,5.0
000000,2015-07-01,745.9,5.0
000000,2015-07-02,835.0,5.0
000000,2015-07-03,657.1,3.0
000000,2015-07-04,580.3,3.0
000000,2015-07-05,681.0,4.0
000000,2015-07-06,886.3,6.0
000000,2015-07-07,742.7,5.0
000000,2015-07-08,442.8,2.0
000000,2015-07-09,303.2,2.0
000000,2015-07-10,62.4,0.0
000000,2015-07-11,1066.4,6.0
000000,2015-07-12,477.8,3.0
000000,2015-07-13,1104.5,7.0
000000,2015-07-14,1004.7,5.0
000000,2015-07-15,1070.6,6.0
000000,2015-07-16,20.0,1.0
000000,2015-07-17,0.0,0.0
000000,2015-07-18,0.0,0.0
000000,2015-07-19,0.0,0.0
000000,2015-07-20,822.0,4.0
000000,2015-07-21,897.4,5.0
000000,2015-07-22,282.8,1.0
000000,2015-07-23,729.4,5.0
000000,2015-07-24,740.4,4.0
000000,2015-07-25,151.2,2.0
000000,2015-07-26,721.9,4.0
000000,2015-07-27,665.5,4.0
000000,2015-07-28,627.2,3.0
000000,2015-07-29,790.6,4.0
000000,2015-07-30,662.0,4.0
000000,2015-07-31,633.7,3.0
000000,2015-08-01,143.2,1.0
000000,2015-08-02,694.6,5.0
000000,2015-08-03,791.1,4.0
000000,2015-08-04,797.6,4.0
000000,2015-08-05,241.4,1.0
000000,2015-08-06,613.3,5.0
000000,2015-08-07,972.0,4.0
000000,2015-08-08,343.4,3.0
000000,2015-08-09,317.1,4.0
000000,2015-08-10,802.1,4.0
000000,2015-08-11,895.5,5.0
000000,2015-08-12,694.4,4.0
000000,2015-08-13,524.3,4.0
000000,2015-08-14,816.1,6.0
000000,2015-08-15,771.0,7.0
000000,2015-08-16,848.3,6.0
000000,2015-08-17,561.6,3.0
000000,2015-08-18,862.0,5.0
000000,2015-08-19,871.7,5.0
000000,2015-08-20,0.0,0.0
000000,2015-08-21,0.0,0.0
000000,2015-08-22,0.0,0.0
000000,2015-08-23,0.0,0.0
000000,2015-08-24,0.0,0.0
000000,2015-08-25,0.0,0.0
000000,2015-08-26,0.0,0.0
000000,2015-08-27,0.0,0.0
000000,2015-08-28,0.0,0.0
000000,2015-08-29,0.0,0.0
000000,2015-08-30,0.0,0.0
000000,2015-08-31,0.0,0.0
000000,2015-09-01,0.0,0.0
000000,2015-09-02,0.0,0.0
000000,2015-09-03,0.0,0.0
000000,2015-09-04,0.0,0.0
000000,2015-09-05,0.0,0.0
000000,2015-09-06,0.0,0.0
000000,2015-09-07,0.0,0.0
000000,2015-09-08,0.0,0.0
000000,2015-09-09,0.0,0.0
000000,2015-09-10,0.0,0.0
000000,2015-09-11,0.0,0.0
000000,2015-09-12,0.0,0.0
000000,2015-09-13,0.0,0.0
000000,2015-09-14,0.0,0.0
000000,2015-09-15,0.0,0.0
000000,2015-09-16,0.0,0.0
000000,2015-09-17,0.0,0.0
000000,2015-09-18,0.0,0.0
000000,2015-09-19,0.0,0.0
000000,2015-09-20,0.0,0.0
000000,2015-09-21,0.0,0.0
000000,2015-09-22,0.0,0.0
000000,2015-09-23,0.0,0.0
000000,2015-09-24,0.0,0.0
000000,2015-09-25,0.0,0.0
000000,2015-09-26,0.0,0.0
000000,2015-09-27,0.0,0.0
000000,2015-09-28,0.0,0.0
000000,2015-09-29,0.0,0.0
000000,2015-09-30,0.0,0.0
000000,2015-10-01,0.0,0.0
000000,2015-10-02,0.0,0.0
000000,2015-10-03,0.0,0.0
000000,2015-10-04,0.0,0.0
000000,2015-10-05,0.0,0.0
000000,2015-10-06,0.0,0.0
000000,2015-10-07,0.0,0.0
000000,2015-10-08,0.0,0.0
000000,2015-10-09,0.0,0.0
000000,2015-10-10,0.0,0.0
000000,2015-10-11,0.0,0.0
000000,2015-10-12,0.0,0.0
000000,2015-10-13,0.0,0.0
000000,2015-10-14,0.0,0.0
000000,2015-10-15,0.0,0.0
000000,2015-10-16,0.0,0.0
000000,2015-10-17,0.0,0.0
000000,2015-10-18,0.0,0.0
000000,2015-10-19,0.0,0.0
000000,2015-10-20,0.0,0.0
000000,2015-10-21,0.0,0.0
000000,2015-10-22,0.0,0.0
000000,2015-10-23,0.0,0.0
000000,2015-10-24,0.0,0.0
000000,2015-10-25,0.0,0.0
000000,2015-10-26,0.0,0.0
000000,2015-10-27,0.0,0.0
000000,2015-10-28,0.0,0.0
000000,2015-10-29,0.0,0.0
000000,2015-10-30,0.0,0.0
000000,2015-10-31,0.0,0.0
000000,2015-11-01,0.0,0.0
000000,2015-11-02,0.0,0.0
000000,2015-11-03,0.0,0.0
000000,2015-11-04,0.0,0.0
000000,2015-11-05,0.0,0.0
000000,2015-11-06,0.0,0.0
000000,2015-11-07,0.0,0.0
000000,2015-11-08,0.0,0.0
000000,2015-11-09,0.0,0.0
000000,2015-11-10,0.0,0.0
000000,2015-11-11,0.0,0.0
000000,2015-11-12,0.0,0.0
000000,2015-11-13,0.0,0.0
000000,2015-11-14,0.0,0.0
000000,2015-11-15,0.0,0.0
000000,2015-11-16,0.0,0.0
000000,2015-11-17,0.0,0.0
000000,2015-11-18,0.0,0.0
000000,2015-11-19,0.0,0.0
000000,2015-11-20,0.0,0.0
000000,2015-11-21,0.0,0.0
000000,2015-11-22,0.0,0.0
000000,2015-11-23,0.0,0.0
000000,2015-11-24,0.0,0.0
000000,2015-11-25,0.0,0.0
000000,2015-11-26,0.0,0.0
000000,2015-11-27,0.0,0.0
000000,2015-11-28,0.0,0.0
000000,2015-11-29,0.0,0.0
000000,2015-11-30,0.0,0.0
000000,2015-12-01,0.0,0.0
000000,2015-12-02,0.0,0.0
000000,2015-12-03,0.0,0.0
000000,2015-12-04,0.0,0.0
000000,2015-12-05,0.0,0.0
000000,2015-12-06,0.0,0.0
000000,2015-12-07,0.0,0.0
000000,2015-12-08,0.0,0.0
000000,2015-12-09,0.0,0.0
000000,2015-12-10,0.0,0.0
000000,2015-12-11,0.0,0.0
000000,2015-12-12,0.0,0.0
000000,2015-12-13,0.0,0.0
000000,2015-12-14,0.0,0.0
000000,2015-12-25,0.0,0.0
000000,2015-12-26,0.0,0.0
000000,2015-12-27,0.0,0.0
000000,2015-12-28,0.0,0.0
000000,2015-12-29,0.0,0.0
000000,2015-12-30,0.0,0.0
000000,2015-12-31,0.0,0.0
000000,2016-01-01,0.0,0.0
000000,2016-01-02,0.0,0.0
000000,2016-01-03,0.0,0.0
000000,2016-01-04,0.0,0.0
000000,2016-01-05,0.0,0.0
000000,2016-01-06,0.0,0.0
000000,2016-01-07,0.0,0.0
000000,2016-01-08,0.0,0.0
000000,2016-01-09,0.0,0.0
000000,2016-01-10,0.0,0.0
000000,2016-01-11,0.0,0.0
000000,2016-01-12,0.0,0.0
000000,2016-01-13,0.0,0.0
000000,2016-01-14,0.0,0.0
000000,2016-01-15,0.0,0.0
000000,2016-01-16,0.0,0.0
000000,2016-01-17,0.0,0.0
000000,2016-01-18,0.0,0.0
000000,2016-01-19,0.0,0.0
000000,2016-01-20,0.0,0.0
000000,2016-01-21,0.0,0.0
000000,2016-01-22,0.0,0.0
000000,2016-01-23,0.0,0.0
000000,2016-01-24,0.0,0.0
000000,2016-01-25,0.0,0.0
000000,2016-01-26,0.0,0.0
000000,2016-01-27,0.0,0.0
000000,2016-01-28,0.0,0.0
000000,2016-01-29,0.0,0.0
000000,2016-01-30,0.0,0.0
000000,2016-01-31,0.0,0.0
000000,2016-02-01,0.0,0.0
000000,2016-02-02,0.0,0.0
000000,2016-02-03,0.0,0.0
000000,2016-02-04,0.0,0.0
000000,2016-02-05,0.0,0.0
000000,2016-02-06,0.0,0.0
000000,2016-02-07,0.0,0.0
000000,2016-02-08,0.0,0.0
000000,2016-02-09,0.0,0.0
000000,2016-02-10,0.0,0.0
000000,2016-02-11,0.0,0.0
000000,2016-02-12,0.0,0.0
000000,2016-02-13,0.0,0.0
000000,2016-02-14,0.0,0.0
000000,2016-02-15,0.0,0.0
000000,2016-02-16,0.0,0.0
000000,2016-02-17,0.0,0.0
000000,2016-02-18,0.0,0.0
000000,2016-02-19,0.0,0.0
000000,2016-02-20,0.0,0.0
000000,2016-02-21,0.0,0.0
000000,2016-02-22,0.0,0.0
000000,2016-02-23,0.0,0.0
000000,2016-02-24,0.0,0.0
000000,2016-02-25,0.0,0.0
000000,2016-02-26,0.0,0.0
000000,2016-02-27,0.0,0.0
000000,2016-02-28,0.0,0.0
000000,2016-02-29,0.0,0.0
000000,2016-03-01,0.0,0.0
000000,2016-03-02,0.0,0.0
000000,2016-03-03,0.0,0.0
000000,2016-03-04,0.0,0.0
000000,2016-03-05,0.0,0.0
000000,2016-03-06,0.0,0.0
000000,2016-03-07,0.0,0.0
000000,2016-03-08,0.0,0.0
000000,2016-03-09,0.0,0.0
000000,2016-03-10,0.0,0.0
000000,2016-03-11,0.0,0.0
000000,2016-03-12,0.0,0.0
000000,2016-03-13,0.0,0.0
000000,2016-03-14,0.0,0.0
000000,2016-03-15,0.0,0.0
000000,2016-03-16,0.0,0.0
000000,2016-03-17,0.0,0.0
000000,2016-03-18,0.0,0.0
000000,2016-03-19,0.0,0.0
000000,2016-03-20,0.0,0.0
000000,2016-03-21,0.0,0.0
000000,2016-03-22,0.0,0.0
000000,2016-03-23,0.0,0.0
000000,2016-03-24,0.0,0.0
000000,2016-03-25,0.0,0.0
000000,2016-03-26,0.0,0.0
000000,2016-03-27,0.0,0.0
000000,2016-03-28,0.0,0.0
000000,2016-03-29,0.0,0.0
000000,2016-03-30,0.0,0.0
000000,2016-03-31,0.0,0.0
000000,2016-04-01,0.0,0.0
000000,2016-04-02,0.0,0.0
000000,2016-04-03,0.0,0.0
000000,2016-04-04,0.0,0.0
000000,2016-04-05,0.0,0.0
000000,2016-04-06,0.0,0.0
000000,2016-04-07,0.0,0.0
000000,2016-04-08,0.0,0.0
000000,2016-04-09,0.0,0.0
000000,2016-04-10,0.0,0.0
000000,2016-04-11,0.0,0.0
000000,2016-04-12,0.0,0.0
000000,2016-04-13,0.0,0.0
000000,2016-04-14,0.0,0.0
000000,2016-04-15,0.0,0.0
000000,2016-04-16,0.0,0.0
000000,2016-04-17,0.0,0.0
000000,2016-04-18,0.0,0.0
000000,2016-04-19,0.0,0.0
000000,2016-04-20,0.0,0.0
000000,2016-04-21,0.0,0.0
000000,2016-04-22,0.0,0.0
000000,2016-04-23,0.0,0.0
000000,2016-04-24,0.0,0.0
000000,2016-04-25,0.0,0.0
000000,2016-04-26,0.0,0.0
000000,2016-04-27,0.0,0.0
000000,2016-04-28,0.0,0.0
000000,2016-04-29,0.0,0.0
000000,2016-04-30,0.0,0.0
000000,2016-05-01,0.0,0.0
000000,2016-05-02,0.0,0.0
000000,2016-05-03,0.0,0.0
000000,2016-05-04,0.0,0.0
000000,2016-05-05,0.0,0.0
000000,2016-05-06,0.0,0.0
000000,2016-05-07,0.0,0.0
000000,2016-05-08,0.0,0.0
000000,2016-05-09,0.0,0.0
000000,2016-05-10,0.0,0.0
000000,2016-05-11,0.0,0.0
000000,2016-05-12,0.0,0.0
000000,2016-05-13,0.0,0.0
000000,2016-05-14,0.0,0.0
000000,2016-05-15,0.0,0.0
000000,2016-05-16,0.0,0.0
000000,2016-05-17,0.0,0.0
000000,2016-05-18,0.0,0.0
000000,2016-05-19,0.0,0.0
000000,2016-05-20,0.0,0.0
000000,2016-05-21,0.0,0.0
000000,2016-05-22,0.0,0.0
000000,2016-05-23,0.0,0.0
000000,2016-05-24,0.0,0.0
000000,2016-05-25,0.0,0.0
000000,2016-05-26,0.0,0.0
000000,2016-05-27,0.0,0.0
000000,2016-05-28,0.0,0.0
000000,2016-05-29,0.0,0.0
000000,2016-05-30,0.0,0.0
000000,2016-05-31,0.0,0.0
000000,2016-06-01,0.0,0.0
000000,2016-06-02,0.0,0.0
000000,2016-06-03,0.0,0.0
000000,2016-06-04,0.0,0.0
000000,2016-06-05,0.0,0.0
000000,2016-06-06,0.0,0.0
000000,2016-06-07,0.0,0.0
000000,2016-06-08,0.0,0.0
000000,2016-06-09,0.0,0.0
000000,2016-06-10,0.0,0.0
000000,2016-06-11,0.0,0.0
000000,2016-06-12,0.0,0.0
000000,2016-06-13,0.0,0.0
000000,2016-06-14,0.0,0.0
000000,2016-06-15,0.0,0.0
000000,2016-06-16,0.0,0.0
000000,2016-06-17,0.0,0.0
000000,2016-06-18,0.0,0.0
000000,2016-06-19,0.0,0.0
000000,2016-06-20,0.0,0.0
000000,2016-06-21,0.0,0.0
000000,2016-06-22,0.0,0.0
000000,2016-06-23,0.0,0.0
000000,2016-06-24,0.0,0.0
000000,2016-06-25,0.0,0.0
000000,2016-06-26,0.0,0.0
000000,2016-06-27,0.0,0.0
000000,2016-06-28,0.0,0.0
000000,2016-06-29,0.0,0.0
000000,2016-06-30,0.0,0.0
000000,2016-07-01,0.0,0.0
000000,2016-07-02,0.0,0.0
000000,2016-07-03,0.0,0.0
000000,2016-07-04,0.0,0.0
000000,2016-07-05,0.0,0.0
000000,2016-07-06,0.0,0.0
000000,2016-07-07,0.0,0.0
000000,2016-07-08,0.0,0.0
000000,2016-07-09,0.0,0.0
000000,2016-07-10,0.0,0.0
000000,2016-07-11,0.0,0.0
000000,2016-07-12,0.0,0.0
000000,2016-07-13,0.0,0.0
000000,2016-07-14,0.0,0.0
000000,2016-07-15,0.0,0.0
000000,2016-07-16,0.0,0.0
000000,2016-07-17,0.0,0.0
000000,2016-07-18,0.0,0.0
000000,2016-07-19,0.0,0.0
000000,2016-07-20,0.0,0.0
000000,2016-07-21,0.0,0.0
000000,2016-07-22,0.0,0.0
000000,2016-07-23,0.0,0.0
000000,2016-07-26,0.0,0.0
000000,2016-07-27,0.0,0.0
000000,2016-07-28,0.0,0.0
000000,2016-07-29,0.0,0.0
000000,2016-07-30,0.0,0.0
000000,2016-07-31,0.0,0.0
000000,2016-08-01,0.0,0.0
000000,2016-08-02,0.0,0.0
000000,2016-08-03,0.0,0.0
000000,2016-08-04,0.0,0.0
000000,2016-08-11,0.0,0.0
000000,2016-08-12,0.0,0.0
000000,2016-08-13,0.0,0.0
000000,2016-08-14,0.0,0.0
000000,2016-08-15,0.0,0.0
000000,2016-08-16,0.0,0.0
000000,2016-08-17,0.0,0.0
000000,2016-08-18,0.0,0.0
000000,2016-08-19,0.0,0.0
000000,2016-08-20,0.0,0.0
000000,2016-08-21,0.0,0.0
000000,2016-08-22,0.0,0.0
000000,2016-08-23,0.0,0.0
000000,2016-08-24,0.0,0.0
000000,2016-08-25,0.0,0.0
000000,2016-08-26,0.0,0.0
000000,2016-08-27,0.0,0.0
000000,2016-08-28,0.0,0.0
000001,2014-07-18,0.0,0.0
000001,2014-07-22,0.0,0.0
000001,2014-07-23,0.7,0.0
000001,2014-07-24,0.0,0.0
000001,2014-07-25,0.0,0.0
000001,2014-08-04,0.0,0.0
000001,2014-08-05,0.0,0.0
000001,2014-08-06,0.0,0.0
000001,2014-08-07,0.0,0.0
000001,2014-08-08,0.0,0.0
000001,2014-08-09,0.0,0.0
000001,2014-08-10,0.0,0.0
000001,2014-08-11,0.0,0.0
000001,2014-08-12,0.0,0.0
000001,2014-08-14,0.0,0.0
000001,2014-08-15,0.0,0.0
000001,2014-08-16,0.0,0.0
000001,2014-08-17,51.1,0.0
000001,2014-08-18,39.4,1.0
